
#p0	p1	dist	len	ave time (us)	rate
0	3	3	0	6.060600	0.00
0	3	3	32	6.322861	10.122e+6
0	3	3	64	6.780624	18.877e+6
0	3	3	96	6.861687	27.981e+6
0	3	3	128	6.837845	37.439e+6
0	3	3	160	6.742477	47.460e+6
0	3	3	192	6.561279	58.525e+6
0	3	3	224	6.999969	64.000e+6
0	3	3	256	7.061958	72.501e+6
0	3	3	288	7.023811	82.007e+6
0	3	3	320	7.119179	89.898e+6
0	3	3	352	7.138252	98.624e+6
0	3	3	384	7.281303	105.476e+6
0	3	3	416	7.362366	113.007e+6
0	3	3	448	7.238388	123.784e+6
0	3	3	480	7.300377	131.500e+6
0	3	3	512	7.801056	131.264e+6
0	3	3	544	7.495880	145.146e+6
0	3	3	576	7.600784	151.563e+6
0	3	3	608	7.643700	159.085e+6
0	3	3	640	7.739067	165.395e+6
0	3	3	672	7.638931	175.941e+6
0	3	3	704	7.777214	181.042e+6
0	3	3	736	7.796288	188.808e+6
0	3	3	768	7.801056	196.896e+6
0	3	3	800	7.958412	201.045e+6
0	3	3	832	7.901192	210.601e+6
0	3	3	864	8.077621	213.924e+6
0	3	3	896	8.058548	222.373e+6
0	3	3	928	8.158684	227.488e+6
0	3	3	960	8.339882	230.219e+6
0	3	3	992	8.339882	237.893e+6
0	3	3	1024	8.420944	243.203e+6
