
#p0	p1	dist	len	ave time (us)	rate
0	3	3	0	5.521774	0.00
0	3	3	32	6.875992	9.308e+6
0	3	3	64	6.117821	20.922e+6
0	3	3	96	6.837845	28.079e+6
0	3	3	128	6.937981	36.898e+6
0	3	3	160	6.680489	47.901e+6
0	3	3	192	6.761551	56.792e+6
0	3	3	224	6.856918	65.335e+6
0	3	3	256	6.580353	77.807e+6
0	3	3	288	6.918907	83.250e+6
0	3	3	320	6.923676	92.436e+6
0	3	3	352	7.181168	98.034e+6
0	3	3	384	7.100105	108.167e+6
0	3	3	416	7.238388	114.943e+6
0	3	3	448	7.462502	120.067e+6
0	3	3	480	7.457733	128.725e+6
0	3	3	512	7.424355	137.924e+6
0	3	3	544	7.638931	142.428e+6
0	3	3	576	7.538795	152.810e+6
0	3	3	608	7.719994	157.513e+6
0	3	3	640	7.781982	164.483e+6
0	3	3	672	7.538795	178.278e+6
0	3	3	704	7.700920	182.835e+6
0	3	3	736	7.877350	186.865e+6
0	3	3	768	8.001328	191.968e+6
0	3	3	800	7.719994	207.254e+6
0	3	3	832	8.201599	202.887e+6
0	3	3	864	8.120537	212.794e+6
0	3	3	896	8.082390	221.717e+6
0	3	3	928	8.378029	221.532e+6
0	3	3	960	8.263588	232.345e+6
0	3	3	992	8.482933	233.881e+6
0	3	3	1024	8.740425	234.314e+6
