
#p0	p1	dist	len	ave time (us)	rate
0	3	3	0	48.837662	0.00
0	3	3	32	51.259995	1.249e+6
0	3	3	64	52.380562	2.444e+6
0	3	3	96	43.816566	4.382e+6
0	3	3	128	42.819977	5.979e+6
0	3	3	160	53.381920	5.995e+6
0	3	3	192	45.018196	8.530e+6
0	3	3	224	53.801537	8.327e+6
0	3	3	256	43.396950	11.798e+6
0	3	3	288	53.176880	10.832e+6
0	3	3	320	44.236183	14.468e+6
0	3	3	352	45.619011	15.432e+6
0	3	3	384	45.380592	16.924e+6
0	3	3	416	54.879189	15.161e+6
0	3	3	448	45.042038	19.893e+6
0	3	3	480	47.221184	20.330e+6
0	3	3	512	45.537949	22.487e+6
0	3	3	544	48.160553	22.591e+6
0	3	3	576	57.759285	19.945e+6
0	3	3	608	46.420097	26.196e+6
0	3	3	640	51.178932	25.010e+6
0	3	3	672	48.723221	27.584e+6
0	3	3	704	48.441887	29.066e+6
0	3	3	736	50.463676	29.169e+6
0	3	3	768	49.381256	31.105e+6
0	3	3	800	50.702095	31.557e+6
0	3	3	832	51.221848	32.486e+6
0	3	3	864	51.898956	33.295e+6
0	3	3	896	50.783157	35.287e+6
0	3	3	928	51.417351	36.097e+6
0	3	3	960	51.803589	37.063e+6
0	3	3	992	51.760674	38.330e+6
0	3	3	1024	64.001083	31.999e+6
