
#p0	p1	dist	len	ave time (us)	rate
0	3	3	0	14.839172	0.00
0	3	3	32	20.518303	3.119e+6
0	3	3	64	21.057129	6.079e+6
0	3	3	96	20.356178	9.432e+6
0	3	3	128	21.018982	12.179e+6
0	3	3	160	21.500587	14.883e+6
0	3	3	192	21.438599	17.912e+6
0	3	3	224	21.758080	20.590e+6
0	3	3	256	28.600693	17.902e+6
0	3	3	288	21.858215	26.352e+6
0	3	3	320	17.161369	37.293e+6
0	3	3	352	18.119812	38.853e+6
0	3	3	384	17.542839	43.779e+6
0	3	3	416	18.920898	43.973e+6
0	3	3	448	18.162727	49.332e+6
0	3	3	480	18.897057	50.802e+6
0	3	3	512	19.903183	51.449e+6
0	3	3	544	19.340515	56.255e+6
0	3	3	576	19.297600	59.697e+6
0	3	3	608	20.098686	60.501e+6
0	3	3	640	20.060539	63.807e+6
0	3	3	672	19.779205	67.950e+6
0	3	3	704	25.639534	54.915e+6
0	3	3	736	21.119118	69.700e+6
0	3	3	768	26.602745	57.738e+6
0	3	3	800	21.419525	74.698e+6
0	3	3	832	21.643639	76.882e+6
0	3	3	864	20.718575	83.403e+6
0	3	3	896	21.800995	82.198e+6
0	3	3	928	22.640228	81.978e+6
0	3	3	960	22.120476	86.797e+6
0	3	3	992	22.859573	86.791e+6
0	3	3	1024	22.540092	90.860e+6
